name,price,score,address,description,url
Hilton Osaka,"฿9,305",8.6,"8-8, Umeda 1-chome, Kita-ku, Osaka, Japan, Umeda, Osaka, Japan, 530-0001",N/A,https://www.agoda.com/hilton-osaka_4/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=15&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
karaksa hotel grande Shin-Osaka Tower,"฿3,985",8.8,"3-3-24, Miyahara, Yodogawa-ku, Osaka-shi, Osaka, Shinosaka, Osaka, Japan, 532-0003",N/A,https://www.agoda.com/karaksa-hotel-grande-shin-osaka-tower_2/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
The Royal Park Hotel Iconic Osaka Midosuji,"฿5,534",9.0,"4-2-3 Hiranomachi, Chuo-ku, Osaka-shi, Osaka, Umeda, Osaka, Japan, 541-0046",N/A,https://www.agoda.com/the-royal-park-hotel-iconic-osaka-midosuji/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Acro Capsule Hotel Namba Dotonbori,"฿1,044",9.1,"Chuo Ward, Dotonbori, 2-chome-2-20, Dotonbori Ritz Building, Namba, Osaka, Japan, 542-0071",N/A,https://www.agoda.com/capsule-hotel-astil-dotonbori_4/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=c7a066af-d8c7-4274-877b-0ad7ccc3adb3
KOKO HOTEL Osaka Shinsaibashi,"฿2,648",8.5,"3-3-17 Minamisenba Chuo-ku, Shinsaibashi, Osaka, Japan, 542-0081",N/A,https://www.agoda.com/hotel-trusty-shinsaibashi_4/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=4&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Conrad Osaka,"฿26,566",9.2,"324 Nakanoshima Kita ku, Umeda, Osaka, Japan, 530-0005",N/A,https://www.agoda.com/conrad-osaka_2/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=-1&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Minn Umeda North,"฿3,499",8.1,"6-12-19 Fukushima, Fukushima Ward, Osaka City, Osaka Prefecture, 553-0003, Japan, Umeda, Osaka, Japan, 553-0003",N/A,https://www.agoda.com/minn-umeda-north-h16345633/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
The Royal Park Canvas Osaka Kitahama,Sold Out/Check Dates,9.0,"1-9-8, Kitahama, Chuo-Ku, Osaka, Umeda, Osaka, Japan, 541-0041",N/A,https://www.agoda.com/the-royal-park-canvas-osaka-kitahama/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Namba Shinsaibashi Nishi,"฿2,614",8.8,"2-14-8 Nishishinsaibashi Chuo-ku,Osaka-shi,Osaka-hu, Japan, Shinsaibashi, Osaka, Japan, 542-0086",N/A,https://www.agoda.com/apa-hotel-namba-shinsaibashi-nishi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Hotel Resol Trinity Osaka,"฿4,890",9.0,"2-6-6 Koraibashi Chuo-ku,Osaka-shi,Osaka, Umeda, Osaka, Japan, 541-0043",N/A,https://www.agoda.com/hptel-resol-trinity-osaka/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
Tanimachi Namba East43,Sold Out/Check Dates,9.1,"大阪市浪速区日本橋5－10－11, Namba, Osaka, Japan, 556-0005",N/A,https://www.agoda.com/tanimachi-namba-east43/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=2&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Namba-Eki Higashi,"฿2,959",8.5,"4-29 Nambasennichimae, Chuo-ku, Osaka-shi, Namba, Osaka, Japan, 542-0075",N/A,https://www.agoda.com/apa-hotel-namba-eki-higashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=2&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Holiday Inn Osaka Namba by IHG​,"฿6,452",8.5,"5-15 Soemoncho, Chuo-ku, Osaka-shi, Osaka-fu, Japan 542-0084​, Shinsaibashi, Osaka, Japan, 542-0084",N/A,https://www.agoda.com/holiday-inn-osaka-namba/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Sotetsu Grand Fresa Osaka Namba,"฿2,701",8.7,"1-1-13, Nippombashi, Chuo-ku, Namba, Osaka, Japan, 542-0073",N/A,https://www.agoda.com/osaka-nanba-washington-plaza-hotel/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=2&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Lucky NAMBA Osaka Namba,Sold Out/Check Dates,9.0,"Namba, Osaka, Japan",N/A,https://www.agoda.com/lucky-namba/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=17&los=7&searchrequestid=c7a066af-d8c7-4274-877b-0ad7ccc3adb3
KOKO HOTEL Osaka Namba Ebisucho,"฿2,359",8.1,"Nihonbashi 5-chome 8-25, Namba, Osaka, Japan, 556 0005",N/A,https://www.agoda.com/koko-hotel-osaka-namba/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
Hotel Monterey Grasmere Osaka,Sold Out/Check Dates,8.6,"1-2-3 Minatomachi, Naniwa-ku, Namba, Osaka, Japan, 556-0017",N/A,https://www.agoda.com/hotel-monterey-grasmere-osaka/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
JOYTEL HOTEL OSAKA SHINSEKAI,"฿3,362",8.6,"2-10-9 Ebisuhigashi, Naniwa-ku, Namba, Osaka, Japan, 556-0002",N/A,https://www.agoda.com/joytel-hotel-shinsekai-sakaisujidori/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=9&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Namba Shinsaibashi Higashi,"฿2,436",8.5,"1-7-10 Higashi-shinsaibashi Chuo-ward Osaka, Shinsaibashi, Osaka, Japan, 542-0083",N/A,https://www.agoda.com/apa-hotel-namba-shinsaibashi-higashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Smile Hotel Premium Osaka Hommachi,"฿2,254",8.6,"2-8-6 Minami-Senba, Chuo, Shinsaibashi, Osaka, Japan, 542-0081",N/A,https://www.agoda.com/smile-hotel-premium-osaka-hommachi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=1&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Welina Hotel Premier Osaka Namba,Sold Out/Check Dates,8.5,"2-10 Nanbasennichimae, Chuo Ward, Osaka, 542-0075, Japan, Namba, Osaka, Japan, 542-0075",N/A,https://www.agoda.com/welina-hotel-premier-osaka-namba/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=c7a066af-d8c7-4274-877b-0ad7ccc3adb3
